participant_id,trial_number,block,round,type,fixation_time,condition,version,difficulty,key_correct,hand,fixation_key_response,fixation_reaction_time_ms,stimulus_key_response,stimulus_reaction_time_ms,isi_key_response,isi_reaction_time_ms,correct,error_type,start_time,end_time,valid
eeeee,1,practice1_1,1,actual,957,motor,1,43,v,left,,,,,,,False,no_response,25/08/03 23:25:22,25/08/03 23:25:25,False
eeeee,2,practice1_1,1,no_go,900,motor,1,100,,,,,,,,,True,,25/08/03 23:25:25,25/08/03 23:25:28,False
eeeee,3,practice1_2,1,no_go,1125,motor,1,125,,,,,,,,,True,,25/08/03 23:25:29,25/08/03 23:25:31,False
eeeee,4,practice1_2,1,actual,862,motor,1,138,v,left,,,v,300,,,True,,25/08/03 23:25:31,25/08/03 23:25:34,False
eeeee,5,practice1_1,2,actual,957,motor,1,43,v,left,,,v,332,,,True,,25/08/03 23:25:35,25/08/03 23:25:38,False
eeeee,6,practice1_1,2,no_go,900,motor,1,100,,,,,,,,,True,,25/08/03 23:25:38,25/08/03 23:25:40,False
eeeee,7,practice1_2,2,no_go,1125,motor,1,125,,,,,,,,,True,,25/08/03 23:25:41,25/08/03 23:25:44,False
eeeee,8,practice1_2,2,actual,862,motor,1,138,v,left,,,,,,,False,no_response,25/08/03 23:25:44,25/08/03 23:25:47,False
eeeee,9,practice1_1,3,actual,957,motor,1,43,v,left,,,v,271,,,True,,25/08/03 23:25:48,25/08/03 23:25:50,False
eeeee,10,practice1_1,3,no_go,900,motor,1,100,,,,,,,,,True,,25/08/03 23:25:50,25/08/03 23:25:53,False
eeeee,11,practice1_2,3,no_go,1125,motor,1,125,,,,,,,,,True,,25/08/03 23:25:54,25/08/03 23:25:57,False
eeeee,12,practice1_2,3,actual,862,motor,1,138,v,left,,,,,,,False,no_response,25/08/03 23:25:57,25/08/03 23:25:59,False
eeeee,13,block1,,no_go,837,motor,1,163,,,,,,,,,True,,25/08/03 23:26:01,25/08/03 23:26:02,False
eeeee,14,block1,,actual,1033,motor,1,33,v,left,,,v,248,,,True,,25/08/03 23:26:02,25/08/03 23:26:04,False
eeeee,15,practice2_1,1,actual,963,motor,1,37,m,right,,,m,311,,,True,,25/08/03 23:26:07,25/08/03 23:26:09,False
eeeee,16,practice2_1,1,no_go,834,motor,1,166,,,,,,,,,True,,25/08/03 23:26:09,25/08/03 23:26:12,False
eeeee,17,practice2_2,1,no_go,1184,motor,1,184,,,,,,,,,True,,25/08/03 23:26:13,25/08/03 23:26:16,False
eeeee,18,practice2_2,1,actual,924,motor,1,76,m,right,,,m,272,,,True,,25/08/03 23:26:16,25/08/03 23:26:19,False
eeeee,19,block2,,actual,1026,motor,1,26,m,right,,,m,304,,,True,,25/08/03 23:26:20,25/08/03 23:26:22,False
eeeee,20,block2,,no_go,1007,motor,1,7,,,,,v,315,,,False,no_go_error,25/08/03 23:26:22,25/08/03 23:26:23,False
eeeee,21,practice3_1,1,actual,802,sensorimotor,1,198,v,left,,,m,433,,,False,incorrect_response,25/08/03 23:26:27,25/08/03 23:26:30,False
eeeee,22,practice3_1,1,actual,840,sensorimotor,1,160,m,right,,,m,348,,,True,,25/08/03 23:26:30,25/08/03 23:26:32,False
eeeee,23,practice3_1,1,no_go,1018,sensorimotor,1,18,,,,,,,,,True,,25/08/03 23:26:32,25/08/03 23:26:35,False
eeeee,24,practice3_2,1,no_go,1070,sensorimotor,1,70,,,,,,,,,True,,25/08/03 23:26:36,25/08/03 23:26:39,False
eeeee,25,practice3_2,1,actual,976,sensorimotor,1,24,v,left,,,v,452,,,True,,25/08/03 23:26:39,25/08/03 23:26:42,False
eeeee,26,practice3_2,1,actual,867,sensorimotor,1,133,m,right,,,m,372,,,True,,25/08/03 23:26:42,25/08/03 23:26:44,False
eeeee,27,block3,,actual,886,sensorimotor,1,114,m,right,,,,,m,20,False,delay_error,25/08/03 23:26:46,25/08/03 23:26:47,False
eeeee,28,block3,,no_go,1191,sensorimotor,1,191,,,,,,,,,True,,25/08/03 23:26:48,25/08/03 23:26:49,False
eeeee,29,block3,,actual,853,sensorimotor,1,147,v,left,,,v,287,,,True,,25/08/03 23:26:49,25/08/03 23:26:51,False
eeeee,30,block4,,no_go,1095,sensorimotor,1,95,,,,,,,,,True,,25/08/03 23:26:53,25/08/03 23:26:55,False
eeeee,31,block4,,actual,1039,sensorimotor,1,39,v,left,,,v,360,,,True,,25/08/03 23:26:55,25/08/03 23:26:56,False
eeeee,32,block4,,actual,1035,sensorimotor,1,35,m,right,,,m,292,,,True,,25/08/03 23:26:56,25/08/03 23:26:58,False
eeeee,33,practice4_1,1,actual,855,contextual,1,145,v,left,,,m,660,,,False,incorrect_response,25/08/03 23:27:04,25/08/03 23:27:08,False
eeeee,34,practice4_1,1,no_go,961,contextual,1,39,,,,,,,,,True,,25/08/03 23:27:08,25/08/03 23:27:11,False
eeeee,35,practice4_2,1,actual,1190,contextual,1,190,m,right,,,v,650,,,False,incorrect_response,25/08/03 23:27:12,25/08/03 23:27:15,False
eeeee,36,practice4_2,1,no_go,1115,contextual,1,115,,,,,,,,,True,,25/08/03 23:27:15,25/08/03 23:27:19,False
eeeee,37,practice4_1,2,actual,855,contextual,1,145,v,left,,,v,729,,,True,,25/08/03 23:27:21,25/08/03 23:27:24,False
eeeee,38,practice4_1,2,no_go,961,contextual,1,39,,,,,,,,,True,,25/08/03 23:27:24,25/08/03 23:27:27,False
eeeee,39,practice4_2,2,actual,1190,contextual,1,190,m,right,,,m,726,,,True,,25/08/03 23:27:29,25/08/03 23:27:32,False
eeeee,40,practice4_2,2,no_go,1115,contextual,1,115,,,,,,,,,True,,25/08/03 23:27:32,25/08/03 23:27:36,False
eeeee,41,block5,,actual,1071,contextual,1,71,m,right,,,v,682,,,False,incorrect_response,25/08/03 23:27:37,25/08/03 23:27:39,False
eeeee,42,block5,,no_go,1142,contextual,1,142,,,,,,,,,True,,25/08/03 23:27:39,25/08/03 23:27:42,False
eeeee,43,block5,,no_go,1071,contextual,1,71,,,,,m,646,,,False,no_go_error,25/08/03 23:27:43,25/08/03 23:27:46,False
eeeee,44,block5,,actual,993,contextual,1,7,v,left,,,v,773,,,True,,25/08/03 23:27:46,25/08/03 23:27:48,False
